data_extra;idacidente;longitude;latitude;log1;log2;predial1;tipo_acid;queda_arr;data;dia_sem;hora;feridos;feridos_gr;mortes;morte_post;fatais;auto;taxi;lotacao;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;noite_dia;regiao;cont_vit;ups;consorcio;ano;mes
01/08/2020;649093;-51.22226100000;-30.04244500000;;;383;CHOQUE;0;10/01/2018;QUARTA-FEIRA;22:50;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;CENTRO;0;1;;2018;1
01/08/2020;649101;-51.19932000000;-30.00192800000;AV FARRAPOS;;3583;COLIS├âO;0;11/01/2018;QUINTA-FEIRA;18:18:00;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;NORTE;1;5;;2018;1
01/08/2020;649119;-51.22311700000;-30.07608500000;;;1501;COLIS├âO;0;05/01/2018;SEXTA-FEIRA;10:20;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL;0;1;;2018;1
01/08/2020;649131;-51.20342400000;-30.07445100000;;;0;CHOQUE;0;06/01/2018;S├üBADO;19:20;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;NOITE;SUL;0;1;;2018;1
01/08/2020;649152;-51.12515800000;-29.99039800000;AV ASSIS BRASIL;;7195;ABALROAMENTO;0;13/01/2018;S├üBADO;10:00:00;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;649216;-51.09939000000;-29.99088900000;AV BERNARDINO SILVEIRA PASTORIZA;;981;ABALROAMENTO;0;18/01/2018;QUINTA-FEIRA;19:38:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;NORTE;1;5;;2018;1
01/08/2020;649226;-51.20939000000;-30.03862000000;;;132;CHOQUE;0;08/01/2018;SEGUNDA-FEIRA;11:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO;0;1;;2018;1
01/08/2020;649262;-51.19690600000;-30.02482800000;;;88;COLIS├âO;0;09/01/2018;TER├çA-FEIRA;22:52;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;NOITE;LESTE;0;1;;2018;1
01/08/2020;649274;-51.16302400000;-30.06267400000;R NOVE DE JUNHO;;33;COLIS├âO;0;19/01/2018;SEXTA-FEIRA;17:15:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;649278;-51.17017600000;-30.06706000000;R DONA FIRMINA;;586;ABALROAMENTO;0;19/01/2018;SEXTA-FEIRA;08:30:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;LESTE;1;5;;2018;1
01/08/2020;649280;-51.18673400000;-30.05632700000;AV IPIRANGA;;5200;ATROPELAMENTO;0;20/01/2018;S├üBADO;10:10:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;1;5;;2018;1
01/08/2020;649282;-51.21485700000;-30.05559400000;AV DA AZENHA;;1339;ATROPELAMENTO;0;20/01/2018;S├üBADO;12:45:00;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;DIA;SUL;1;5;VIVA SUL (LOTE 4);2018;1
01/08/2020;649284;-51.20051300000;-30.07683900000;AV PROF OSCAR PEREIRA;;3071;ABALROAMENTO;0;20/01/2018;S├üBADO;16:30:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;SUL;1;5;;2018;1
01/08/2020;649288;-51.14130700000;-30.15526900000;ESTR JOAO ANTONIO SILVEIRA;;1770;ATROPELAMENTO;0;20/01/2018;S├üBADO;20:20:00;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NOITE;SUL;1;5;;2018;1
01/08/2020;649290;-51.13130400000;-30.07627200000;AV BENTO GONCALVES;;8712;COLIS├âO;0;21/01/2018;DOMINGO;00:30:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;LESTE;1;5;;2018;1
01/08/2020;649326;-51.17712800000;-30.02346200000;;;1877;COLIS├âO;0;10/01/2018;QUARTA-FEIRA;21:50;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;LESTE;0;1;;2018;1
01/08/2020;649328;-51.11995500000;-30.02270700000;;;835;COLIS├âO;0;10/01/2018;QUARTA-FEIRA;19:50;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;NOITE;LESTE;0;1;;2018;1
01/08/2020;649330;-51.23884600000;-30.10473600000;AV OTTO NIEMEYER;;2061;COLIS├âO;0;10/01/2018;QUARTA-FEIRA;12:40:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;SUL;1;5;;2018;1
01/08/2020;649338;-51.20982600000;-30.06915600000;;;298;COLIS├âO;0;11/01/2018;QUINTA-FEIRA;16:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL;0;1;;2018;1
01/08/2020;649344;-51.19544500000;-29.99111900000;;;595;COLIS├âO;0;11/01/2018;QUINTA-FEIRA;09:10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;0;1;;2018;1
01/08/2020;649346;-51.18971700000;-30.00061500000;;;0;ABALROAMENTO;0;11/01/2018;QUINTA-FEIRA;16:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;0;1;;2018;1
01/08/2020;649352;-51.20821200000;-30.03985800000;;;2343;ABALROAMENTO;0;11/01/2018;QUINTA-FEIRA;11:25;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO;0;1;;2018;1
01/08/2020;648729;-51.20310600000;-30.07331800000;;;2617;COLIS├âO;0;01/01/2018;SEGUNDA-FEIRA;07:55;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;SUL;0;1;;2018;1
01/08/2020;648737;-51.20889500000;-30.03684800000;AV OSVALDO ARANHA;;1407;ATROPELAMENTO;0;02/01/2018;TER├çA-FEIRA;12:00:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO;1;5;;2018;1
01/08/2020;648845;-51.18130300000;-30.17751900000;R REINALDO MULLER;;233;ABALROAMENTO;0;04/01/2018;QUINTA-FEIRA;18:40:00;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;SUL;1;5;;2018;1
01/08/2020;648904;-51.23356800000;-30.03124500000;R DOS ANDRADAS;;805;ATROPELAMENTO;0;06/01/2018;S├üBADO;09:45:00;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;DIA;CENTRO;1;5;;2018;1
01/08/2020;648728;-51.21445500000;-30.12242000000;R CASEMIRO DE SOUZA;;170;ATROPELAMENTO;0;01/01/2018;SEGUNDA-FEIRA;00:30:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NOITE;SUL;1;5;;2018;1
01/08/2020;649063;-51.20452200000;-30.02595400000;;;79;ABALROAMENTO;0;03/01/2018;QUARTA-FEIRA;21:45;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;LESTE;0;1;;2018;1
01/08/2020;649085;-51.13029500000;-30.09285700000;ESTR JOAO DE OLIVEIRA REMIAO;;1997;COLIS├âO;0;04/01/2018;QUINTA-FEIRA;12:00:00;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;DIA;LESTE;0;1;MAIS (LOTE 6);2018;1
01/08/2020;649111;-51.13228700000;-29.99889000000;;;5916;ABALROAMENTO;0;05/01/2018;SEXTA-FEIRA;09:40;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;DIA;NORTE;0;1;MOB (LOTE 1);2018;1
01/08/2020;649121;-51.21936500000;-30.11335400000;;;0;ABALROAMENTO;0;06/01/2018;S├üBADO;08:05;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL;0;1;;2018;1
01/08/2020;649127;-51.18144600000;-30.02812800000;;;700;COLIS├âO;0;06/01/2018;S├üBADO;06:15;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649137;-51.23577700000;-30.03018200000;R SIQUEIRA CAMPOS;;617;ABALROAMENTO;0;12/01/2018;SEXTA-FEIRA;14:35:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;DIA;CENTRO;1;5;;2018;1
01/08/2020;649148;-51.20340900000;-30.11247300000;;;1105;CHOQUE;0;12/01/2018;SEXTA-FEIRA;19:30;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;NOITE;SUL;0;1;;2018;1
01/08/2020;649150;-51.18912500000;-30.07036200000;AV CEL APARICIO BORGES;;2001;ABALROAMENTO;0;13/01/2018;S├üBADO;04:40:00;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;SUL;1;5;;2018;1
01/08/2020;649154;-51.13615600000;-30.01097800000;;;340;COLIS├âO;0;13/01/2018;S├üBADO;18:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;LESTE;0;1;;2018;1
01/08/2020;649156;-51.22714400000;-30.03623100000;R JOSE DO PATROCINIO;;19;ABALROAMENTO;0;14/01/2018;DOMINGO;09:30:00;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;DIA;CENTRO;1;5;;2018;1
01/08/2020;649158;-51.14506600000;-30.00986200000;AV ASSIS BRASIL;;4111;ABALROAMENTO;0;14/01/2018;DOMINGO;14:00:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;649174;-51.14452500000;-30.15710300000;ESTR JOAO ANTONIO SILVEIRA;;1410;COLIS├âO;0;15/01/2018;SEGUNDA-FEIRA;16:10:00;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;DIA;SUL;1;5;;2018;1
01/08/2020;649202;-51.21155500000;-30.11572500000;AV RODRIGUES DA FONSECA;;1509;ABALROAMENTO;0;18/01/2018;QUINTA-FEIRA;09:35:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;SUL;1;5;;2018;1
01/08/2020;649222;-51.23489400000;-30.13176300000;;;2411;COLIS├âO;0;02/01/2018;TER├çA-FEIRA;19:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;SUL;0;1;;2018;1
01/08/2020;649224;-51.20832300000;-30.03694700000;;;0;ABALROAMENTO;0;08/01/2018;SEGUNDA-FEIRA;17:50;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649310;-51.13675800000;-30.07402800000;;;7712;COLIS├âO;0;10/01/2018;QUARTA-FEIRA;08:00;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649324;-51.25409700000;-30.10992100000;;;0;COLIS├âO;0;10/01/2018;QUARTA-FEIRA;18:35;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;SUL;0;1;;2018;1
01/08/2020;649336;-51.21920100000;-30.02614300000;TUN NS DA CONCEICAO-ELEVADAS;;0;COLIS├âO;0;22/01/2018;SEGUNDA-FEIRA;13:00:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;CENTRO;1;5;;2018;1
01/08/2020;649372;-51.19835200000;-30.04631400000;;;3045;COLIS├âO;0;12/01/2018;SEXTA-FEIRA;07:20;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649374;-51.19257700000;-30.00001000000;;;0;ABALROAMENTO;0;12/01/2018;SEXTA-FEIRA;09:40;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;0;1;;2018;1
01/08/2020;649376;-51.18397300000;-30.05771300000;;;0;ABALROAMENTO;0;12/01/2018;SEXTA-FEIRA;10:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649399;-51.21730100000;-30.14286100000;AV JUCA BATISTA;;1125;COLIS├âO;0;23/01/2018;TER├çA-FEIRA;18:45:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;SUL;1;5;;2018;1
01/08/2020;649405;-51.22883000000;-30.04303700000;;;0;ABALROAMENTO;0;13/01/2018;S├üBADO;12:05;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;DIA;CENTRO;0;1;VIVA SUL (LOTE 3);2018;1
01/08/2020;649407;-51.20483300000;-30.12995200000;;;0;ABALROAMENTO;0;13/01/2018;S├üBADO;07:45;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;DIA;SUL;0;1;;2018;1
01/08/2020;648982;-51.21001100000;-30.04938500000;;;0;ABALROAMENTO;0;01/01/2018;SEGUNDA-FEIRA;11:00;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;648994;-51.21828300000;-30.05530800000;;;1140;COLIS├âO;0;09/01/2018;TER├çA-FEIRA;13:30;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;SUL;0;1;;2018;1
01/08/2020;648996;-51.11848600000;-30.01044500000;AV DANTE ANGELO PILLA;;455;ABALROAMENTO;0;09/01/2018;TER├çA-FEIRA;15:10:00;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;649008;-51.22784200000;-30.03865200000;;;0;ABALROAMENTO;0;02/01/2018;TER├çA-FEIRA;19:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;CENTRO;0;1;;2018;1
01/08/2020;649012;-51.19089400000;-30.02181800000;;;12;CHOQUE;0;02/01/2018;TER├çA-FEIRA;17:00;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649016;-51.23070600000;-30.11001200000;;;3068;COLIS├âO;0;02/01/2018;TER├çA-FEIRA;09:15;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL;0;1;;2018;1
01/08/2020;649018;-51.19609000000;-30.00673000000;;;0;ABALROAMENTO;0;03/01/2018;QUARTA-FEIRA;17:30;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;DIA;NORTE;0;1;;2018;1
01/08/2020;649024;-51.20976900000;-30.03642300000;;;0;COLIS├âO;0;03/01/2018;QUARTA-FEIRA;14:50;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;DIA;CENTRO;0;1;;2018;1
01/08/2020;649064;-51.19723400000;-30.00637600000;;;0;COLIS├âO;0;03/01/2018;QUARTA-FEIRA;21:50;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;NORTE;0;1;;2018;1
01/08/2020;649068;-51.18971700000;-30.00061500000;;;0;ABALROAMENTO;0;04/01/2018;QUINTA-FEIRA;10:10;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;0;1;;2018;1
01/08/2020;649072;-51.12149000000;-30.00533700000;;;152;COLIS├âO;0;04/01/2018;QUINTA-FEIRA;15:35;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;0;1;;2018;1
01/08/2020;649082;-51.19603200000;-30.04093400000;;;2399;COLIS├âO;0;04/01/2018;QUINTA-FEIRA;08:35;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;0;1;;2018;1
01/08/2020;649110;-51.13706100000;-30.02612900000;;;0;COLIS├âO;0;05/01/2018;SEXTA-FEIRA;09:20;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;0;1;;2018;1
01/08/2020;649132;-51.20623200000;-30.01904700000;;;707;ABALROAMENTO;0;07/01/2018;DOMINGO;20:15;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;NORTE;0;1;;2018;1
01/08/2020;649145;-51.17726900000;-30.04050700000;AV PROTASIO ALVES;;3280;ATROPELAMENTO;0;12/01/2018;SEXTA-FEIRA;14:50:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;1;5;;2018;1
01/08/2020;649147;-51.14320500000;-29.98889400000;R SERGIO JUNGBLUT DIETERICH;;950;ABALROAMENTO;0;12/01/2018;SEXTA-FEIRA;17:00:00;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;649149;-51.13678600000;-30.02322100000;R DONA ADDA MASCARENHAS DE MORAES;;1365;ABALROAMENTO;0;12/01/2018;SEXTA-FEIRA;19:45:00;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;LESTE;1;5;;2018;1
01/08/2020;649151;-51.12760500000;-30.00443900000;AV SERTORIO;;9500;CAPOTAGEM;0;13/01/2018;S├üBADO;08:00:00;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;649167;-51.12823500000;-30.01158300000;AV BALTAZAR DE OLIVEIRA GARCIA;;1650;COLIS├âO;0;15/01/2018;SEGUNDA-FEIRA;08:15:00;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;649209;-51.19225700000;-29.98121800000;AV A J RENNER;;1679;ATROPELAMENTO;0;18/01/2018;QUINTA-FEIRA;18:00:00;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NOITE;NORTE;1;5;;2018;1
